frame    t(s)  contacts  resting          position (x,y,z)             velocity (x,y,z)  layer
  116   1.933         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  117   1.950         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  118   1.967         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  119   1.983         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  120   2.000         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  121   2.017         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  122   2.033         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  123   2.050         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  124   2.067         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  125   2.083         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  126   2.100         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  127   2.117         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  128   2.133         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  129   2.150         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  130   2.167         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  131   2.183         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  132   2.200         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  133   2.217         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  134   2.233         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  135   2.250         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  136   2.267         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  137   2.283         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  138   2.300         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  139   2.317         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  140   2.333         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  141   2.350         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  142   2.367         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  143   2.383         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  144   2.400         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  145   2.417         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  146   2.433         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  147   2.450         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  148   2.467         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  149   2.483         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  150   2.500         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  151   2.517         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  152   2.533         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  153   2.550         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  154   2.567         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  155   2.583         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  156   2.600         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  157   2.617         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  158   2.633         1     True  (  1725.77,  60.00,  -790.14)  (    0.00,    0.00,    0.00)      1
  159   2.650  -- round gone: the 3.0 s fuse ran out and it exploded where it lay --
  160   2.667  -- round gone: the 3.0 s fuse ran out and it exploded where it lay --
  161   2.683  -- round gone: the 3.0 s fuse ran out and it exploded where it lay --
  162   2.700  -- round gone: the 3.0 s fuse ran out and it exploded where it lay --
  180   3.000  -- round gone: the 3.0 s fuse ran out and it exploded where it lay --
  200   3.333  -- round gone: the 3.0 s fuse ran out and it exploded where it lay --
  220   3.667  -- round gone: the 3.0 s fuse ran out and it exploded where it lay --
